# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
102.95600 -0.000521 -0.000910 -0.000392 0.000434 -0.000258 0.000388 1.000000 0.0015241969 -0.0000000000 0.0000000000 0.0015241968 -0.0000000000 0.0015241969 0.0085804891 -0.0000000005 0.0000014439 0.0085804884 0.0000025258 0.0015934616
102.98800 -0.000029 -0.000450 -0.000196 -0.000007 0.000017 0.000060 1.000000 0.0000238650 0.0000000004 0.0000005059 0.0000238655 0.0000008512 0.0010050133 0.0016302725 -0.0000000005 0.0000000321 0.0016302719 0.0000000562 0.0015641360
103.02000 0.000241 -0.000003 -0.000127 0.000014 0.000012 -0.000025 1.000000 0.0000178671 0.0000000004 0.0000005079 0.0000178676 0.0000008545 0.0010027674 0.0015836307 -0.0000000005 0.0000000201 0.0015836301 0.0000000352 0.0015540538
103.05600 0.000122 0.000075 -0.000111 0.000005 0.000001 0.000112 1.000000 0.0000159183 0.0000000004 0.0000005085 0.0000159187 0.0000008555 0.0010020313 0.0015683990 -0.0000000005 0.0000000157 0.0015683985 0.0000000276 0.0015491423
103.08800 0.000157 0.000046 -0.000112 0.000002 0.000000 0.000103 1.000000 0.0000151989 0.0000000004 0.0000005087 0.0000151993 0.0000008559 0.0010017556 0.0015627575 -0.0000000005 0.0000000140 0.0015627570 0.0000000245 0.0015470109
103.12000 0.000192 0.000058 -0.000106 0.000008 -0.000004 0.000083 1.000000 0.0000148358 0.0000000004 0.0000005088 0.0000148363 0.0000008561 0.0010016140 0.0015599020 -0.0000000005 0.0000000131 0.0015599014 0.0000000230 0.0015458568
103.15600 0.000203 0.000016 -0.000104 0.000007 -0.000002 0.000073 1.000000 0.0000146256 0.0000000004 0.0000005089 0.0000146260 0.0000008562 0.0010015301 0.0015582421 -0.0000000005 0.0000000126 0.0015582415 0.0000000221 0.0015451622
103.18800 0.000241 0.000011 -0.000098 0.000009 -0.000001 0.000055 1.000000 0.0000145260 0.0000000004 0.0000005089 0.0000145265 0.0000008563 0.0010014894 0.0015574530 -0.0000000005 0.0000000123 0.0015574524 0.0000000216 0.0015448262
103.22000 0.000248 -0.000003 -0.000094 0.000008 -0.000001 0.000061 1.000000 0.0000144697 0.0000000004 0.0000005089 0.0000144702 0.0000008563 0.0010014658 0.0015570056 -0.0000000005 0.0000000122 0.0015570050 0.0000000214 0.0015446344
103.25600 0.000181 -0.000010 -0.000097 0.000007 0.000001 0.000065 1.000000 0.0000144351 0.0000000004 0.0000005090 0.0000144355 0.0000008563 0.0010014508 0.0015567284 -0.0000000005 0.0000000121 0.0015567279 0.0000000212 0.0015445154
103.28800 0.000193 -0.000021 -0.000098 0.000007 0.000001 0.000064 1.000000 0.0000144181 0.0000000004 0.0000005090 0.0000144185 0.0000008563 0.0010014433 0.0015565919 -0.0000000005 0.0000000120 0.0015565914 0.0000000211 0.0015444568
103.32000 0.000184 -0.000010 -0.000097 0.000007 0.000001 0.000062 1.000000 0.0000144083 0.0000000004 0.0000005090 0.0000144088 0.0000008563 0.0010014388 0.0015565131 -0.0000000005 0.0000000120 0.0015565125 0.0000000211 0.0015444231
103.35600 0.000186 0.000005 -0.000093 0.000007 0.000001 0.000063 1.000000 0.0000144022 0.0000000004 0.0000005090 0.0000144027 0.0000008563 0.0010014360 0.0015564637 -0.0000000005 0.0000000120 0.0015564632 0.0000000211 0.0015444020
103.38800 0.000179 -0.000007 -0.000093 0.000006 0.000001 0.000062 1.000000 0.0000143992 0.0000000004 0.0000005090 0.0000143997 0.0000008563 0.0010014345 0.0015564392 -0.0000000005 0.0000000120 0.0015564387 0.0000000211 0.0015443917
103.42000 0.000181 -0.000003 -0.000094 0.000007 0.000001 0.000061 1.000000 0.0000143974 0.0000000004 0.0000005090 0.0000143979 0.0000008564 0.0010014336 0.0015564251 -0.0000000005 0.0000000120 0.0015564245 0.0000000211 0.0015443857
103.45600 0.000179 -0.000001 -0.000095 0.000006 0.000001 0.000062 1.000000 0.0000143964 0.0000000004 0.0000005090 0.0000143968 0.0000008564 0.0010014331 0.0015564162 -0.0000000005 0.0000000120 0.0015564156 0.0000000210 0.0015443819
103.48800 0.000180 0.000001 -0.000095 0.000006 0.000001 0.000062 1.000000 0.0000143958 0.0000000004 0.0000005090 0.0000143963 0.0000008564 0.0010014328 0.0015564117 -0.0000000005 0.0000000120 0.0015564112 0.0000000210 0.0015443801
103.52000 0.000181 -0.000003 -0.000095 0.000006 0.000001 0.000063 1.000000 0.0000143955 0.0000000004 0.0000005090 0.0000143960 0.0000008564 0.0010014326 0.0015564092 -0.0000000005 0.0000000120 0.0015564086 0.0000000210 0.0015443790
103.55600 0.000180 -0.000004 -0.000094 0.000007 0.000001 0.000062 1.000000 0.0000143953 0.0000000004 0.0000005090 0.0000143958 0.0000008564 0.0010014325 0.0015564076 -0.0000000005 0.0000000120 0.0015564070 0.0000000210 0.0015443783
103.58800 0.000180 -0.000005 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143952 0.0000000004 0.0000005090 0.0000143957 0.0000008564 0.0010014325 0.0015564068 -0.0000000005 0.0000000120 0.0015564062 0.0000000210 0.0015443780
103.62000 0.000180 -0.000003 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143952 0.0000000004 0.0000005090 0.0000143957 0.0000008564 0.0010014324 0.0015564063 -0.0000000005 0.0000000120 0.0015564057 0.0000000210 0.0015443778
103.65600 0.000180 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564060 -0.0000000005 0.0000000120 0.0015564054 0.0000000210 0.0015443777
103.68800 0.000181 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564059 -0.0000000005 0.0000000120 0.0015564053 0.0000000210 0.0015443777
103.72000 0.000181 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564058 -0.0000000005 0.0000000120 0.0015564052 0.0000000210 0.0015443776
103.75600 0.000180 -0.000003 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564052 0.0000000210 0.0015443776
103.78800 0.000180 -0.000003 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
103.82000 0.000180 -0.000003 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
103.85600 0.000180 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
103.88800 0.000180 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
103.92000 0.000181 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
103.95600 0.000181 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
103.98800 0.000181 -0.000002 -0.000095 0.000007 0.000001 0.000062 1.000000 0.0000143951 0.0000000004 0.0000005090 0.0000143956 0.0000008564 0.0010014324 0.0015564057 -0.0000000005 0.0000000120 0.0015564051 0.0000000210 0.0015443776
